IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "September 13, 2018"
PROD_DATE "2018:07"
SAMPLE_BACKING "white"
SERIAL "R180730"
MATERIAL "Kodak Professional Endura Premier"
NUMBER_OF_FIELDS 13
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H          D_RED  D_GREEN  D_BLUE  D_VIS
L17        15.76    7.97    0.67          33.91   58.25   45.87          74.14   38.22           0.60    1.93    2.07    0.96
L18         4.40    9.89    1.45          37.64  -52.52   40.48          66.31  142.38           1.89    0.81    1.70    1.06
L19         3.89    1.61   18.48          13.29   45.28  -70.97          84.18  302.54           2.23    1.87    0.69    1.94
L20         0.74    0.81    0.83           7.32   -1.84   -3.04           3.55  238.75           2.18    2.05    1.97    2.11
L21         0.96    0.94    1.00           8.46    2.25   -3.72           4.35  301.09           2.01    2.04    1.90    2.02
L22         1.97    1.60    1.39          13.23   10.69   -0.88          10.72  355.29           1.61    1.91    1.76    1.76
GS00        75.99   79.49   64.25          91.46   -1.33    1.28           1.84  136.06           0.10    0.10    0.11    0.10
GS01        66.59   69.19   57.19          86.60   -0.29   -0.10           0.30  198.57           0.16    0.16    0.16    0.16
GS02        59.39   61.73   50.83          82.77   -0.31    0.12           0.33  157.86           0.21    0.21    0.21    0.21
GS03        52.29   54.26   44.49          78.61   -0.08    0.35           0.36  103.31           0.26    0.26    0.27    0.27
GS04        45.90   47.61   39.02          74.57    0.01    0.35           0.35   89.18           0.31    0.32    0.33    0.32
GS05        40.18   41.62   34.56          70.61    0.15   -0.32           0.35  295.70           0.37    0.38    0.38    0.38
GS06        34.85   36.06   29.93          66.57    0.27   -0.26           0.38  315.47           0.43    0.44    0.44    0.44
GS07        30.30   31.36   25.60          62.81    0.23    0.48           0.53   64.64           0.49    0.50    0.51    0.50
GS08        25.95   26.92   22.21          58.90   -0.00    0.01           0.01  113.80           0.56    0.57    0.57    0.57
GS09        22.16   22.99   19.17          55.06   -0.01   -0.42           0.42  268.32           0.63    0.64    0.63    0.64
GS10       18.56   19.17   15.75          50.89    0.38    0.17           0.42   23.67           0.70    0.72    0.71    0.72
GS11       15.32   15.82   13.10          46.74    0.36   -0.12           0.38  342.02           0.78    0.80    0.79    0.80
GS12       12.49   12.94   10.71          42.67    0.11   -0.11           0.16  316.50           0.87    0.89    0.88    0.89
GS13       10.23   10.59    8.78          38.87    0.21   -0.15           0.26  324.69           0.96    0.97    0.96    0.98
GS14        8.19    8.47    6.98          34.93    0.24    0.02           0.24    4.18           1.06    1.07    1.06    1.07
GS15        6.30    6.51    5.39          30.66    0.23   -0.11           0.25  334.25           1.17    1.18    1.17    1.19
GS16        4.88    5.05    4.12          26.87    0.14    0.25           0.28   61.36           1.28    1.29    1.29    1.30
GS17        3.61    3.75    3.12          22.81   -0.06   -0.22           0.23  255.89           1.42    1.42    1.40    1.43
GS18        2.61    2.72    2.26          18.87   -0.22   -0.19           0.29  220.76           1.56    1.56    1.54    1.57
GS19        1.81    1.91    1.57          14.99   -0.62   -0.00           0.62  180.13           1.73    1.71    1.70    1.72
GS20        1.24    1.30    1.08          11.25   -0.41   -0.16           0.44  201.40           1.90    1.87    1.86    1.89
GS21        0.97    1.03    0.90           9.25   -0.73   -0.80           1.09  227.53           2.02    1.97    1.94    1.99
GS22        0.77    0.81    0.71           7.35   -0.53   -0.74           0.91  234.29           2.13    2.07    2.04    2.09
GS23        0.43    0.52    0.57           4.69   -3.06   -2.68           4.07  221.26           2.48    2.20    2.14    2.32
END_DATA
